"","ECOSUBCD","PLT_CN","tpaDead","baDead","volumeDead","propDead","propDeadLarge","volCWD","stage","baLive","carbonLive","richness","evenness","subForestProp","tpaCanopy","annualRecruit","annualMortality","micrForestProp","tpaRegen","INVYR","plotID","date","SRV_CN","CTY_CN","PREV_PLT_CN","STATECD","UNITCD","COUNTYCD","LAT","LON"
"54"," 211Fc",15806683020004,24.072184,1.93648406327168,14.0374928448265,0.0909090909090909,0.333333333333333,NA,"mature",12.6308136633855,41387.948159951,0.948683298050514,0.366204096222703,0.25,240.72184,NA,NA,NA,NA,2013,36105262,"2013-11-08",15802863020004,1320451010538,118182269010661,36,8,105,374554.151167099,1656248.40633075
"55"," 211Fc",15806684020004,24.072184,1.04002465139115,5.88497859318295,0.133333333333333,NA,NA,"pole",7.95012334819359,26712.8594704813,1.37281294596729,0.277987164150759,1,156.469196,0.00645161290322581,0.0193548387096774,NA,NA,2013,361051220,"2013-09-18",15802863020004,1320451010538,118182271010661,36,8,105,365241.760146009,1659243.01343238
"56"," 211Fc",15807265020004,24.072184,0.667938191639941,3.28980220839711,0.0714285714285714,NA,NA,"late",22.7068491266435,80693.1026956567,1.10940039245046,0.346573590279973,0.25,312.938392,0.0151515151515152,0,0.25,299.861128,2013,361055023,"2013-09-09",15802863020004,1320451010538,118183923010661,36,8,105,367160.544018463,1646322.19347151
"57"," 211Fc",15807266020004,14.7332850224988,0.437812264961625,1.61188437809278,0.0740740740740741,NA,NA,"mature",11.7612447517409,44175.8052180875,1.8,0.244136064148469,0.816932,184.166062781235,0.00597371565113501,0.00597371565113501,0.75,99.9537093333333,2013,36105423,"2013-11-25",15802863020004,1320451010538,118183925010661,36,8,105,357650.095835495,1644992.90034435
"58"," 211Fc",16265050020004,12.036092,0.161770092524191,0.4283052625571,0.0416666666666667,NA,NA,"mature",12.5481447244915,39076.9269943591,1.03209369308428,0.277987164150759,1,276.830116,0.00673854447439353,0,1,224.895846,2013,421035740,"2013-11-18",15930495020004,1320591010538,113492173010661,42,8,103,353530.207515169,1646957.04151419
"59"," 211Fc",16265052020004,12.036092,1.06890236630546,6.99919113852018,0.0833333333333333,0.0909090909090909,NA,"late",13.4337483111244,63140.0698668761,1.27920429813366,0.298626578204676,1,132.397012,0.0148809523809524,0.00744047619047619,NA,NA,2013,421035344,"2013-11-19",15930495020004,1320591010538,113492177010661,42,8,103,323672.968407603,1640970.8883946
"60"," 211Fc",16265340020004,6.018046,0.751643922832949,5.56048858616945,0.0384615384615385,0.1,NA,"mature",8.89723311326594,32908.540390815,1.8,0.244136064148469,1,150.45115,0,0,1,224.895846,2013,421034248,"2013-09-06",15930495020004,1320591010538,113492231010661,42,8,103,331218.598870706,1630827.52621713
"61"," 211Fc",16265341020004,48.144368,2.62034006608931,16.8749085749112,0.285714285714286,NA,NA,"mature",5.25418892595584,18426.8633181892,1.11803398874989,0.32188758248682,1,120.36092,0,0.0432900432900433,1,74.965282,2013,42895872,"2014-03-13",15930495020004,1320588010538,113492233010661,42,8,89,323105.28127962,1629305.87012068
"62"," 211Fc",16265343020004,42.126322,1.17752160656393,5.25436831735959,0.148936170212766,NA,NA,"pole",8.85408425729578,27564.7221487479,1.10679718105893,0.277987164150759,1,240.72184,0,0.010932944606414,1,149.930564,2013,42895348,"2014-03-19",15930495020004,1320588010538,113492237010661,42,8,89,312911.593433468,1624657.66265585
"63"," 211Fc",16265346020004,24.072184,0.526385548944881,2.06198057657443,0.166666666666667,NA,NA,"late",8.8411548474503,46990.3645569935,1.56524758424985,0.277987164150759,1,120.36092,0.00556173526140156,0.0222469410456062,1,149.930564,2013,42894365,"2014-03-19",15930495020004,1320588010538,113492243010661,42,8,89,301688.918732071,1623886.31857046
